Date,Province,Vac Allocated AstraZeneca 1,Vac Allocated AstraZeneca 2,Vac Allocated Sinovac 1,Vac Allocated Sinovac 2,Vac Given,Vac Given 1 Cum,Vac Given 2 %,Vac Given 2 Cum,Vac Given AstraZeneca,Vac Given AstraZeneca Cum,Vac Given Cum,Vac Given Sinopharm,Vac Given Sinopharm Cum,Vac Given Sinovac,Vac Given Sinovac Cum,Vac Group Medical Staff 1 Cum,Vac Group Medical Staff 2 Cum,Vac Group Other Frontline Staff 1 Cum,Vac Group Other Frontline Staff 2 Cum,Vac Group Over 60 1 Cum,Vac Group Over 60 2 Cum,Vac Group Risk: Disease 1 Cum,Vac Group Risk: Disease 2 Cum,Vac Group Risk: Location 1 Cum,Vac Group Risk: Location 2 Cum
2021-02-28,Chonburi,,,,,12.0,,,,0.0,0.0,12.0,0.0,0.0,12.0,12.0,,,,,,,,,,
2021-02-28,Nonthaburi,,,,,93.0,,,,0.0,0.0,93.0,0.0,0.0,93.0,93.0,,,,,,,,,,
2021-02-28,Samut Sakhon,,,,,160.0,,,,0.0,0.0,160.0,0.0,0.0,160.0,160.0,,,,,,,,,,
2021-03-01,Bangkok,,,,,208.0,,,,0.0,0.0,208.0,0.0,0.0,208.0,208.0,,,,,,,,,,
2021-03-01,Chiang Mai,,,,,142.0,,,,0.0,0.0,142.0,0.0,0.0,142.0,142.0,,,,,,,,,,
2021-03-01,Chonburi,,,,,292.0,,,,0.0,0.0,304.0,0.0,0.0,292.0,304.0,,,,,,,,,,
2021-03-01,Nakhon Pathom,,,,,349.0,,,,0.0,0.0,349.0,0.0,0.0,349.0,349.0,,,,,,,,,,
2021-03-01,Nonthaburi,,,,,1.0,,,,0.0,0.0,94.0,0.0,0.0,1.0,94.0,,,,,,,,,,
2021-03-01,Pathum Thani,,,,,619.0,,,,0.0,0.0,619.0,0.0,0.0,619.0,619.0,,,,,,,,,,
2021-03-01,Ratchaburi,,,,,26.0,,,,0.0,0.0,26.0,0.0,0.0,26.0,26.0,,,,,,,,,,
2021-03-01,Samut Prakan,,,,,118.0,,,,0.0,0.0,118.0,0.0,0.0,118.0,118.0,,,,,,,,,,
2021-03-01,Samut Sakhon,,,,,1284.0,,,,0.0,0.0,1444.0,0.0,0.0,1284.0,1444.0,,,,,,,,,,
2021-03-01,Samut Songkhram,,,,,108.0,,,,0.0,0.0,108.0,0.0,0.0,108.0,108.0,,,,,,,,,,
2021-03-01,Surat Thani,,,,,40.0,,,,0.0,0.0,40.0,0.0,0.0,40.0,40.0,,,,,,,,,,
2021-03-02,Bangkok,,,,,302.0,,,,0.0,0.0,510.0,0.0,0.0,302.0,510.0,,,,,,,,,,
2021-03-02,Chiang Mai,,,,,196.0,,,,0.0,0.0,338.0,0.0,0.0,196.0,338.0,,,,,,,,,,
2021-03-02,Chonburi,,,,,871.0,,,,0.0,0.0,1175.0,0.0,0.0,871.0,1175.0,,,,,,,,,,
2021-03-02,Nakhon Pathom,,,,,342.0,,,,0.0,0.0,691.0,0.0,0.0,342.0,691.0,,,,,,,,,,
2021-03-02,Nonthaburi,,,,,252.0,,,,0.0,0.0,346.0,0.0,0.0,252.0,346.0,,,,,,,,,,
2021-03-02,Pathum Thani,,,,,320.0,,,,0.0,0.0,939.0,0.0,0.0,320.0,939.0,,,,,,,,,,
2021-03-02,Phuket,,,,,171.0,,,,0.0,0.0,171.0,0.0,0.0,171.0,171.0,,,,,,,,,,
2021-03-02,Ratchaburi,,,,,117.0,,,,0.0,0.0,143.0,0.0,0.0,117.0,143.0,,,,,,,,,,
2021-03-02,Samut Prakan,,,,,375.0,,,,0.0,0.0,493.0,0.0,0.0,375.0,493.0,,,,,,,,,,
2021-03-02,Samut Sakhon,,,,,1330.0,,,,0.0,0.0,2774.0,0.0,0.0,1330.0,2774.0,,,,,,,,,,
2021-03-02,Samut Songkhram,,,,,158.0,,,,0.0,0.0,266.0,0.0,0.0,158.0,266.0,,,,,,,,,,
2021-03-02,Surat Thani,,,,,170.0,,,,0.0,0.0,210.0,0.0,0.0,170.0,210.0,,,,,,,,,,
2021-03-02,Tak,,,,,231.0,,,,0.0,0.0,231.0,0.0,0.0,231.0,231.0,,,,,,,,,,
2021-03-03,Bangkok,,,,,678.0,,,,0.0,0.0,1188.0,0.0,0.0,678.0,1188.0,,,,,,,,,,
2021-03-03,Chiang Mai,,,,,249.0,,,,0.0,0.0,587.0,0.0,0.0,249.0,587.0,,,,,,,,,,
2021-03-03,Chonburi,,,,,641.0,,,,0.0,0.0,1816.0,0.0,0.0,641.0,1816.0,,,,,,,,,,
2021-03-03,Nakhon Pathom,,,,,403.0,,,,0.0,0.0,1094.0,0.0,0.0,403.0,1094.0,,,,,,,,,,
2021-03-03,Nonthaburi,,,,,528.0,,,,0.0,0.0,874.0,0.0,0.0,528.0,874.0,,,,,,,,,,
2021-03-03,Pathum Thani,,,,,388.0,,,,0.0,0.0,1327.0,0.0,0.0,388.0,1327.0,,,,,,,,,,
2021-03-03,Phuket,,,,,186.0,,,,0.0,0.0,357.0,0.0,0.0,186.0,357.0,,,,,,,,,,
2021-03-03,Ratchaburi,,,,,530.0,,,,0.0,0.0,673.0,0.0,0.0,530.0,673.0,,,,,,,,,,
2021-03-03,Samut Prakan,,,,,789.0,,,,0.0,0.0,1282.0,0.0,0.0,789.0,1282.0,,,,,,,,,,
2021-03-03,Samut Sakhon,,,,,1702.0,,,,2.0,2.0,4476.0,0.0,0.0,1700.0,4474.0,,,,,,,,,,
2021-03-03,Samut Songkhram,,,,,126.0,,,,0.0,0.0,392.0,0.0,0.0,126.0,392.0,,,,,,,,,,
2021-03-03,Surat Thani,,,,,261.0,,,,0.0,0.0,471.0,0.0,0.0,261.0,471.0,,,,,,,,,,
2021-03-03,Tak,,,,,339.0,,,,0.0,0.0,570.0,0.0,0.0,339.0,570.0,,,,,,,,,,
2021-03-04,Bangkok,,,,,755.0,,,,0.0,0.0,1943.0,0.0,0.0,755.0,1943.0,,,,,,,,,,
2021-03-04,Chiang Mai,,,,,364.0,,,,0.0,0.0,951.0,0.0,0.0,364.0,951.0,,,,,,,,,,
2021-03-04,Chonburi,,,,,217.0,,,,0.0,0.0,2033.0,0.0,0.0,217.0,2033.0,,,,,,,,,,
2021-03-04,Nakhon Pathom,,,,,85.0,,,,0.0,0.0,1179.0,0.0,0.0,85.0,1179.0,,,,,,,,,,
2021-03-04,Nonthaburi,,,,,606.0,,,,0.0,0.0,1480.0,0.0,0.0,606.0,1480.0,,,,,,,,,,
2021-03-04,Pathum Thani,,,,,254.0,,,,0.0,0.0,1581.0,0.0,0.0,254.0,1581.0,,,,,,,,,,
2021-03-04,Phuket,,,,,452.0,,,,0.0,0.0,809.0,0.0,0.0,452.0,809.0,,,,,,,,,,
2021-03-04,Ratchaburi,,,,,259.0,,,,0.0,0.0,932.0,0.0,0.0,259.0,932.0,,,,,,,,,,
2021-03-04,Samut Prakan,,,,,673.0,,,,0.0,0.0,1955.0,0.0,0.0,673.0,1955.0,,,,,,,,,,
2021-03-04,Samut Sakhon,,,,,1498.0,,,,0.0,2.0,5974.0,0.0,0.0,1498.0,5972.0,,,,,,,,,,
2021-03-04,Samut Songkhram,,,,,223.0,,,,0.0,0.0,615.0,0.0,0.0,223.0,615.0,,,,,,,,,,
